44.49,-73.23
44.49,-73.11
44.46,-73.22
44.46,-73.22
43.61,-72.98
42.87,-73.19
42.86,-72.56
44.64,-73.11
44.49,-73.12
44.45,-73.09
43.66,-72.37
43.29,-72.48
44.2,-72.51
44.01,-73.16
44.38,-73.23
44.2,-72.51
44.27,-72.57
44.5,-73.18
44.43,-72.01
44.81,-73.08
44.92,-73.12
44.81,-73.08
44.15,-72.66
44.55,-72
44.56,-72.62
44.34,-72.76
43.19,-72.49
44.74,-73.13
43.93,-72.67
44.67,-73.01
43.61,-73.18
44.33,-73.11
44.47,-72.69
44.95,-72.13
44.94,-72.2
43.16,-73.07
44.41,-73
43.61,-72.98
44.14,-73.09
44.64,-72.88
44.31,-73.26
43.8,-73.08
44.96,-73.05
44.64,-72.68
44.12,-72.54
43.54,-72.4
43,-73.2
42.79,-73.23
43.48,-72.39
43.52,-73.24
43.72,-72.3
44.53,-72.95
43.26,-72.59
43.07,-72.46
43.13,-72.45
44.6,-72.61
43.63,-72.52
44.5,-72.37
43.82,-72.54
43.71,-73.03
44.22,-72.59
44.91,-72.8
44.21,-73.25
44,-72.13
44.95,-72.3
42.98,-72.53
43.59,-73.27
44.27,-72.49
43.83,-72.24
44.17,-73.26
44.75,-72.18
43.56,-72.97
44.92,-73.12
45,-72.66
44.88,-72.94
43.07,-73.15
42.76,-72.51
43.6,-73.05
44.08,-72.06
44.41,-72.14
42.82,-72.58
44.6,-73
44.22,-73.13
44.72,-73.3
44.98,-73.3
44.56,-72.59
43.47,-72.97
44.33,-72.99
43.83,-72.64
43.26,-73.1
44.8,-72.95
43.4,-72.7
44.34,-72.74
42.87,-72.87
42.92,-72.58
44.23,-73.06
44.29,-72.68
44.97,-72.78
44.12,-73.15
44.62,-71.95
